Symbol,Date,Close
ADBE,8/19/2015,85.48
ADBE,8/20/2015,82.69
ADBE,8/21/2015,78.87
ADBE,8/24/2015,74.27
ADBE,8/25/2015,74.57
ADBE,8/26/2015,77.33
ADBE,8/27/2015,78.91
ADBE,8/28/2015,79.4
ADBE,8/31/2015,78.57
ADBE,9/1/2015,75.99
ADBE,9/2/2015,77.25
ADBE,9/3/2015,78.32
ADBE,9/4/2015,76.89
ADBE,9/8/2015,79.78
ADBE,9/9/2015,78.52
ADBE,9/10/2015,78.7
ADBE,9/11/2015,79.19
ADBE,9/14/2015,78.46
ADBE,9/15/2015,79.53
ADBE,9/16/2015,80.53
ADBE,9/17/2015,80.31
ADBE,9/18/2015,81.25
ADBE,9/21/2015,83.32
ADBE,9/22/2015,84.66
ADBE,9/23/2015,85.5
ADBE,9/24/2015,83.91
ADBE,9/25/2015,83.13
ADBE,9/28/2015,80.52
ADBE,9/29/2015,79.83
ADBE,9/30/2015,82.22
ADBE,10/1/2015,83.75
ADBE,10/2/2015,83.99
ADBE,10/5/2015,85.84
ADBE,10/6/2015,85.15
ADBE,10/7/2015,80.65
ADBE,10/8/2015,82.26
ADBE,10/9/2015,83.82
ADBE,10/12/2015,83.92
ADBE,10/13/2015,83.65
ADBE,10/14/2015,83.8
ADBE,10/15/2015,86.77
ADBE,10/16/2015,88.67
ADBE,10/19/2015,88.4
ADBE,10/20/2015,86.84
ADBE,10/21/2015,86.13
ADBE,10/22/2015,88.46
ADBE,10/23/2015,87.86
ADBE,10/26/2015,88.84
ADBE,10/27/2015,88.05
ADBE,10/28/2015,88.5
ADBE,10/29/2015,88.12
ADBE,10/30/2015,88.66
ADBE,11/2/2015,89.91
ADBE,11/3/2015,90.36
ADBE,11/4/2015,91.01
ADBE,11/5/2015,90.55
ADBE,11/6/2015,90.69
ADBE,11/9/2015,89.8
ADBE,11/10/2015,90.28
ADBE,11/11/2015,91.21
ADBE,11/12/2015,90.84
ADBE,11/13/2015,89.02
ADBE,11/16/2015,89.77
ADBE,11/17/2015,90.29
ADBE,11/18/2015,91.27
ADBE,11/19/2015,91.76
ADBE,11/20/2015,91.81
ADBE,11/23/2015,91.96
ADBE,11/24/2015,92
ADBE,11/25/2015,91.77
ADBE,11/27/2015,92.17
ADBE,11/30/2015,91.46
ADBE,12/1/2015,92.55
ADBE,12/2/2015,92.02
ADBE,12/3/2015,89.91
ADBE,12/4/2015,92.58
ADBE,12/7/2015,89.6
ADBE,12/8/2015,91.72
ADBE,12/9/2015,89.56
ADBE,12/10/2015,88.96
ADBE,12/11/2015,91.42
ADBE,12/14/2015,93.26
ADBE,12/15/2015,94.02
ADBE,12/16/2015,95.56
ADBE,12/17/2015,94.2
ADBE,12/18/2015,91.31
ADBE,12/21/2015,91.62
ADBE,12/22/2015,93.82
ADBE,12/23/2015,94.7
ADBE,12/24/2015,94.3
ADBE,12/28/2015,94.2
ADBE,12/29/2015,95.33
ADBE,12/30/2015,95.28
ADBE,12/31/2015,93.94
ADBE,1/4/2016,91.97
ADBE,1/5/2016,92.34
ADBE,1/6/2016,91.02
ADBE,1/7/2016,89.11
ADBE,1/8/2016,87.85
ADBE,1/11/2016,89.38
ADBE,1/12/2016,89.82
ADBE,1/13/2016,88.3
ADBE,1/14/2016,89.8
ADBE,1/15/2016,89.17
ADBE,1/19/2016,89.18
ADBE,1/20/2016,87.94
ADBE,1/21/2016,88
ADBE,1/22/2016,89.63
ADBE,1/25/2016,86.77
ADBE,1/26/2016,86.89
